response_id,question_id,pair_id,category,domain,model,claude_score,parse_success,timestamp
deepseek-v3.2:cloud|ADMET-PEP-02,ADMET-PEP-02,ADMET-02,ADMET / Pharmacokinetic Properties,peptide,DeepSeek V3.2,2,True,2026-02-10T02:36:18.871837+00:00
deepseek-v3.2:cloud|ADMET-SM-01,ADMET-SM-01,ADMET-01,ADMET / Pharmacokinetic Properties,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:37:43.109764+00:00
deepseek-v3.2:cloud|ASSAY-PEP-09,ASSAY-PEP-09,ASSAY-09,Assay Interpretation,peptide,DeepSeek V3.2,1,True,2026-02-10T02:40:36.876312+00:00
deepseek-v3.2:cloud|ASSAY-SM-01,ASSAY-SM-01,ASSAY-01,Assay Interpretation,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:40:55.689346+00:00
deepseek-v3.2:cloud|GEN-PEP-04,GEN-PEP-04,GEN-04,Generative Design Strategies,peptide,DeepSeek V3.2,3,True,2026-02-10T02:42:56.897680+00:00
deepseek-v3.2:cloud|GEN-SM-04,GEN-SM-04,GEN-04,Generative Design Strategies,small_molecule,DeepSeek V3.2,3,True,2026-02-10T02:44:33.040663+00:00
deepseek-v3.2:cloud|OPT-PEP-10,OPT-PEP-10,OPT-10,Optimization Approaches,peptide,DeepSeek V3.2,3,True,2026-02-10T02:47:03.189275+00:00
deepseek-v3.2:cloud|OPT-SM-09,OPT-SM-09,OPT-09,Optimization Approaches,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:48:31.283564+00:00
deepseek-v3.2:cloud|SAR-PEP-01,SAR-PEP-01,SAR-01,SAR Reasoning,peptide,DeepSeek V3.2,2,True,2026-02-10T02:48:49.249532+00:00
deepseek-v3.2:cloud|SAR-SM-07,SAR-SM-07,SAR-07,SAR Reasoning,small_molecule,DeepSeek V3.2,2,True,2026-02-10T02:51:21.430111+00:00
gemini-3-flash-preview:cloud|ADMET-PEP-04,ADMET-PEP-04,ADMET-04,ADMET / Pharmacokinetic Properties,peptide,Gemini 3 Flash,3,True,2026-02-10T02:52:29.646017+00:00
gemini-3-flash-preview:cloud|ADMET-SM-03,ADMET-SM-03,ADMET-03,ADMET / Pharmacokinetic Properties,small_molecule,Gemini 3 Flash,3,True,2026-02-10T02:53:57.335775+00:00
gemini-3-flash-preview:cloud|ASSAY-PEP-06,ASSAY-PEP-06,ASSAY-06,Assay Interpretation,peptide,Gemini 3 Flash,3,True,2026-02-10T02:55:59.674195+00:00
gemini-3-flash-preview:cloud|ASSAY-SM-02,ASSAY-SM-02,ASSAY-02,Assay Interpretation,small_molecule,Gemini 3 Flash,0,True,2026-02-10T02:56:56.204270+00:00
