response_id,expert_score,notes
qwen3-next:80b-cloud|GEN-SM-05,,
gemini-3-flash-preview:cloud|SAR-PEP-08,,
deepseek-v3.2:cloud|SAR-PEP-08,,
qwen3-next:80b-cloud|GEN-PEP-10,,
deepseek-v3.2:cloud|GEN-PEP-05,,
qwen3-next:80b-cloud|OPT-PEP-01,,
kimi-k2.5:cloud|GEN-SM-02,,
qwen3-next:80b-cloud|ADMET-PEP-07,,
qwen3-next:80b-cloud|ASSAY-SM-05,,
deepseek-v3.2:cloud|ASSAY-PEP-10,,
kimi-k2.5:cloud|OPT-PEP-09,,
gemini-3-flash-preview:cloud|OPT-SM-09,,
qwen3-next:80b-cloud|ASSAY-PEP-04,,
deepseek-v3.2:cloud|ASSAY-PEP-06,,
qwen3-next:80b-cloud|SAR-PEP-01,,
gemini-3-flash-preview:cloud|SAR-PEP-05,,
deepseek-v3.2:cloud|ADMET-SM-05,,
qwen3-next:80b-cloud|ASSAY-SM-04,,
gemini-3-flash-preview:cloud|ASSAY-SM-07,,
kimi-k2.5:cloud|SAR-SM-01,,
gemini-3-flash-preview:cloud|GEN-PEP-02,,
qwen3-next:80b-cloud|OPT-SM-04,,
kimi-k2.5:cloud|ASSAY-PEP-09,,
gemini-3-flash-preview:cloud|ADMET-PEP-10,,
kimi-k2.5:cloud|ASSAY-PEP-04,,
deepseek-v3.2:cloud|SAR-SM-09,,
qwen3-next:80b-cloud|SAR-PEP-08,,
qwen3-next:80b-cloud|ADMET-PEP-02,,
deepseek-v3.2:cloud|OPT-SM-06,,
gemini-3-flash-preview:cloud|SAR-SM-07,,
deepseek-v3.2:cloud|OPT-SM-04,,
kimi-k2.5:cloud|ADMET-PEP-09,,
gemini-3-flash-preview:cloud|ADMET-SM-03,,
kimi-k2.5:cloud|SAR-PEP-05,,
kimi-k2.5:cloud|ASSAY-SM-10,,
deepseek-v3.2:cloud|ASSAY-SM-07,,
deepseek-v3.2:cloud|SAR-PEP-04,,
qwen3-next:80b-cloud|SAR-SM-10,,
deepseek-v3.2:cloud|ADMET-SM-10,,
kimi-k2.5:cloud|ADMET-SM-03,,
kimi-k2.5:cloud|ADMET-PEP-02,,
gemini-3-flash-preview:cloud|SAR-SM-02,,
gemini-3-flash-preview:cloud|OPT-SM-04,,
kimi-k2.5:cloud|GEN-SM-07,,
qwen3-next:80b-cloud|OPT-SM-10,,
deepseek-v3.2:cloud|SAR-SM-07,,
gemini-3-flash-preview:cloud|ADMET-PEP-06,,
qwen3-next:80b-cloud|ASSAY-PEP-02,,
kimi-k2.5:cloud|GEN-PEP-01,,
qwen3-next:80b-cloud|GEN-SM-09,,
kimi-k2.5:cloud|SAR-SM-02,,
qwen3-next:80b-cloud|GEN-PEP-06,,
gemini-3-flash-preview:cloud|OPT-PEP-03,,
deepseek-v3.2:cloud|ASSAY-SM-02,,
gemini-3-flash-preview:cloud|OPT-PEP-08,,
gemini-3-flash-preview:cloud|ASSAY-PEP-04,,
deepseek-v3.2:cloud|ADMET-PEP-01,,
deepseek-v3.2:cloud|OPT-PEP-02,,
qwen3-next:80b-cloud|ADMET-SM-09,,
qwen3-next:80b-cloud|SAR-SM-05,,
qwen3-next:80b-cloud|ADMET-SM-02,,
kimi-k2.5:cloud|OPT-SM-02,,
gemini-3-flash-preview:cloud|ASSAY-SM-05,,
gemini-3-flash-preview:cloud|GEN-SM-04,,
gemini-3-flash-preview:cloud|ADMET-SM-06,,
deepseek-v3.2:cloud|GEN-SM-06,,
deepseek-v3.2:cloud|ADMET-PEP-03,,
gemini-3-flash-preview:cloud|GEN-PEP-03,,
gemini-3-flash-preview:cloud|ASSAY-PEP-09,,
kimi-k2.5:cloud|ADMET-SM-04,,
qwen3-next:80b-cloud|OPT-PEP-02,,
kimi-k2.5:cloud|GEN-PEP-10,,
gemini-3-flash-preview:cloud|GEN-SM-05,,
kimi-k2.5:cloud|OPT-SM-04,,
kimi-k2.5:cloud|ASSAY-SM-01,,
deepseek-v3.2:cloud|GEN-SM-07,,
deepseek-v3.2:cloud|GEN-PEP-03,,
deepseek-v3.2:cloud|OPT-PEP-10,,
kimi-k2.5:cloud|SAR-PEP-04,,
kimi-k2.5:cloud|OPT-PEP-04,,
